index,Thiessen_date,Thiessen,skew_date,skew,diff_days,abs_days
6,1980-10-20,71.71783958741473,1980-10-05,0.2874154767552239,15 days 00:00:00.000000000,15.0
17,1981-10-09,48.116458538662265,1981-10-30,0.1287124902318771,-21 days +00:00:00.000000000,21.0
29,1982-10-17,51.579918387233285,1982-10-15,0.23164348948477545,2 days 00:00:00.000000000,2.0
41,1983-10-17,47.460591259704934,1983-10-15,0.10904489412576177,2 days 00:00:00.000000000,2.0
52,1984-10-06,72.85869372456989,1984-10-25,0.18330806230724533,-19 days +00:00:00.000000000,19.0
64,1985-10-10,69.32138101453408,1985-10-05,0.24531727776545664,5 days 00:00:00.000000000,5.0
76,1986-10-09,51.68545069664546,1986-10-18,0.12844992965428825,-9 days +00:00:00.000000000,9.0
88,1987-10-03,64.21212690897303,1987-10-07,0.13204054903991316,-4 days +00:00:00.000000000,4.0
100,1988-10-02,60.64579842604204,1988-10-21,0.14294997720070265,-19 days +00:00:00.000000000,19.0
112,1989-10-12,100.04915762391232,1989-10-12,0.29630163176889585,0 days 00:00:00.000000000,0.0
124,1990-10-26,51.972503950774644,1990-10-12,0.1931845213729768,14 days 00:00:00.000000000,14.0
136,1991-10-09,55.937663179225,1991-10-09,0.2424408891213936,0 days 00:00:00.000000000,0.0
147,1992-10-11,51.13665033429929,1992-10-09,0.2553253190382941,2 days 00:00:00.000000000,2.0
159,1993-10-06,52.66581995155159,1993-10-06,0.2747991408787684,0 days 00:00:00.000000000,0.0
171,1994-10-29,68.94104245953089,1994-10-22,0.31753590380216784,7 days 00:00:00.000000000,7.0
183,1995-10-10,61.941547950670035,1995-10-18,0.149921277009453,-8 days +00:00:00.000000000,8.0
195,1996-10-14,74.22154352441206,1996-10-12,0.18634582440291006,2 days 00:00:00.000000000,2.0
207,1997-10-30,71.89632640482111,1997-10-03,0.2168652825115442,27 days 00:00:00.000000000,27.0
219,1998-10-01,38.60640948427941,1998-10-23,0.22254431813686326,-22 days +00:00:00.000000000,22.0
231,1999-10-24,42.10039002152028,1999-10-19,0.25097042979664125,5 days 00:00:00.000000000,5.0
243,2000-10-09,80.83432562458874,2000-10-01,0.13021525864516115,8 days 00:00:00.000000000,8.0
255,2001-10-14,29.932265739199934,2001-10-01,0.15210946826084504,13 days 00:00:00.000000000,13.0
267,2002-10-08,52.03681253794213,2002-10-10,0.2481611592732744,-2 days +00:00:00.000000000,2.0
279,2003-10-20,43.94574564135112,2003-10-10,0.2270460448105725,10 days 00:00:00.000000000,10.0
291,2004-10-04,57.19682916242638,2004-10-21,0.20873691810449888,-17 days +00:00:00.000000000,17.0
303,2005-10-05,66.19141450375024,2005-10-15,0.21231979030870735,-10 days +00:00:00.000000000,10.0
315,2006-10-17,32.06303545111276,2006-10-07,0.1803176303882857,10 days 00:00:00.000000000,10.0
327,2007-10-11,66.309680202964,2007-10-20,0.19999616055583425,-9 days +00:00:00.000000000,9.0
339,2008-10-24,77.4590001060392,2008-10-16,0.1701988620353706,8 days 00:00:00.000000000,8.0
351,2009-10-24,52.019498687550886,2009-10-01,0.17285676048153875,23 days 00:00:00.000000000,23.0
363,2010-10-10,69.61779851852933,2010-10-22,0.19481256186743606,-12 days +00:00:00.000000000,12.0
374,2011-10-09,37.811437360040735,2011-10-07,0.2027568577739868,2 days 00:00:00.000000000,2.0
386,2012-10-05,69.06615932402742,2012-10-13,0.20120367397743166,-8 days +00:00:00.000000000,8.0
398,2013-10-11,39.59570873883591,2013-10-17,0.19106212020454366,-6 days +00:00:00.000000000,6.0
410,2014-10-04,37.497124019543975,2014-10-11,0.3024083207409754,-7 days +00:00:00.000000000,7.0
420,2015-10-23,88.25212333625568,2015-10-14,0.19885197786801276,9 days 00:00:00.000000000,9.0
432,2016-10-03,88.5768784152142,2016-10-17,0.10669400673822944,-14 days +00:00:00.000000000,14.0
444,2017-10-13,94.31979098328829,2017-10-01,-0.034922871167911554,12 days 00:00:00.000000000,12.0
